13120,80760,68480,299000,370800,313640,655000,697080,754200,1282680,668120,842360,949200,1019800,1059200,1748600,1251000,1194440,1158640,875400,1152560,1846960,1134200,1098680
470320,614520,617560,862640,747000,1146800,1017960,995240,1050640,2000880,1199160,1263600,1636600,1913360,1889800,2597680,2691120,2673000,2674800,2608160,2632200,3929360,3262000,3064040
620040,722840,529760,751800,868480,732120,858520,999680,1193640,1398480,1772480,1859200,3989680,3262800,2137000,2719520,2990600,2850280,3153600,3689480,3732640,4391960,3719200,4570080
571760,536960,614200,825800,638560,840680,1327840,1087080,1254040,1508920,1624680,1774240,2230040,2232320,2877800,2657960,3712880,3504240,3602440,4797520,3561880,3580080,3904880,4720040
405800,369880,531320,843760,847120,1220400,1470720,1377320,1009840,2313680,2673520,1976240,2261240,2124560,3392640,3068320,3181200,2812720,3338120,4011080,3424520,5217200,3829320,4067600
463040,586800,543440,675040,1212680,768560,1358280,1146680,1016200,1894080,2091480,1851520,2456920,2365440,2522400,3320840,3302480,2698880,3554960,4238040,4324800,4212880,3652480,5839880
775800,813920,732360,1028560,892520,1071000,1202080,1580280,1398600,2278240,2914480,3042800,3446040,3054400,3137880,3760000,3395800,3220840,3651960,3862880,4592400,4122040,4709880,3930280
914920,898560,1149240,1683880,1503320,1642600,2847200,3720440,2808560,4247120,3696040,3796480,4108800,4252440,4187160,4033760,3759400,4055880,3940160,4266560,4272840,5133520,3975880,4696200
745040,966760,743720,1918840,2140680,2094400,3616640,3556480,3006760,3910200,3643720,5213760,4348360,4883480,4633360,4859760,4421600,4056000,4178080,4357240,4190320,4201440,4296360,4309520
504000,668560,920880,1875800,1854720,2352680,3818240,3690960,3809720,4057480,4046880,4071800,4104720,4088720,4223080,4438480,4728520,4138840,4397680,4313240,4525400,4392160,5127280,4842320
1021400,3699880,5327360,4327040,3926640,4108680,4539160,4109680,3894680,4105600,527320,1640600,4018600,4046840,4880120,3874280,4257360,4443160,4174800,4496560,4610280,4686760,64520,32800
1123760,3103680,3714800,4168120,5474440,4068840,4064200,4144960,4623680,3992560,415760,2396280,2789760,4399000,4067680,4195920,3950560,5101440,3838240,3987160,3856280,4269280,26600,1200
1249600,3254920,4462280,4051240,4030800,3866200,3272720,3926000,4197240,4096240,426040,1710320,3526560,3130160,4061280,4108320,3905360,3940640,4205800,3883920,4011640,4436360,106600,1240
1708400,3229240,3771640,3687160,4200680,4745280,3978640,4767200,3932240,5248000,1061240,2952320,4118960,4357560,4008400,5618440,4184240,4109160,3940280,4321120,4220200,4612320,27680,960
1413160,3676760,4107320,4074680,4455840,4006200,4898320,4131680,5170960,4509800,2481360,3077440,4210160,5602440,4668720,4693400,5460000,4223320,4226760,4291280,4584640,4251240,24400,760
954600,3187600,4027360,4194360,4190280,4766680,4651640,4247120,4326280,4254240,1326480,2815120,4327960,4531440,4391840,4740120,4464840,4228200,5088320,4453960,4469720,5316320,31280,840
